"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Feb-2025","EQ","3,420.00","3,420.00","3,270.00","3,447.50","3,285.95","3,289.20","3,300.78","3,963.50","3,175.05","60,77,580","20,06,07,46,789.85","3,93,333"
"01-Feb-2025","EQ","3,578.00","3,629.20","3,402.00","3,567.40","3,458.25","3,447.50","3,473.36","3,963.50","3,175.05","47,52,505","16,50,71,48,387.25","2,65,997"
"31-Jan-2025","EQ","3,501.05","3,590.00","3,481.05","3,420.95","3,564.00","3,567.40","3,555.03","3,963.50","3,175.05","39,95,513","14,20,41,81,890.25","2,17,688"
"30-Jan-2025","EQ","3,455.00","3,517.80","3,395.00","3,449.70","3,432.50","3,420.95","3,438.04","3,963.50","3,175.05","27,17,740","9,34,36,90,877.75","1,80,276"
"29-Jan-2025","EQ","3,431.00","3,455.00","3,412.00","3,413.90","3,448.90","3,449.70","3,437.37","3,963.50","3,175.05","12,38,704","4,25,78,84,243.70","1,03,001"
"28-Jan-2025","EQ","3,464.95","3,482.15","3,404.05","3,457.65","3,423.45","3,413.90","3,436.05","3,963.50","3,175.05","16,57,689","5,69,59,03,565.45","1,54,969"
"27-Jan-2025","EQ","3,447.20","3,493.90","3,401.15","3,458.20","3,472.90","3,457.65","3,446.21","3,963.50","3,175.05","15,52,938","5,35,17,54,018.20","1,10,592"
"24-Jan-2025","EQ","3,514.50","3,521.10","3,446.05","3,503.25","3,459.80","3,458.20","3,480.76","3,963.50","3,175.05","12,06,454","4,19,93,71,221.40","91,930"
"23-Jan-2025","EQ","3,492.00","3,527.80","3,460.60","3,518.20","3,504.85","3,503.25","3,501.30","3,963.50","3,175.05","19,93,204","6,97,87,96,103.15","1,26,865"
"22-Jan-2025","EQ","3,563.00","3,582.35","3,490.10","3,541.10","3,520.80","3,518.20","3,521.51","3,963.50","3,175.05","16,26,055","5,72,61,73,067.10","1,18,201"
"21-Jan-2025","EQ","3,612.75","3,643.30","3,528.10","3,593.00","3,553.00","3,541.10","3,581.60","3,963.50","3,175.05","25,76,596","9,22,83,31,774.35","1,77,605"
"20-Jan-2025","EQ","3,574.90","3,617.15","3,556.50","3,568.65","3,588.90","3,593.00","3,585.81","3,963.50","3,175.05","15,93,334","5,71,33,98,004.80","1,17,677"
"17-Jan-2025","EQ","3,524.00","3,579.85","3,511.95","3,507.90","3,570.85","3,568.65","3,555.86","3,963.50","3,175.05","16,00,246","5,69,02,44,161.85","1,26,909"
"16-Jan-2025","EQ","3,535.00","3,543.45","3,483.75","3,501.40","3,515.00","3,507.90","3,513.22","3,963.50","3,175.05","23,05,460","8,09,95,90,396.00","1,52,224"
"15-Jan-2025","EQ","3,471.30","3,526.15","3,471.30","3,462.60","3,505.70","3,501.40","3,500.92","3,963.50","3,175.05","11,55,446","4,04,51,28,629.70","1,16,492"
"14-Jan-2025","EQ","3,465.85","3,491.95","3,448.60","3,464.30","3,465.00","3,462.60","3,467.21","3,963.50","3,175.05","29,24,491","10,13,98,29,760.70","1,76,125"
"13-Jan-2025","EQ","3,505.55","3,534.50","3,448.60","3,536.15","3,470.00","3,464.30","3,492.05","3,963.50","3,175.05","21,37,212","7,46,32,55,880.30","1,34,759"
"10-Jan-2025","EQ","3,499.95","3,552.20","3,492.30","3,527.90","3,542.00","3,536.15","3,527.93","3,963.50","3,175.05","17,94,238","6,32,99,54,565.20","1,13,478"
